Country,Continent,Population,Cases,Pct Cases,Deaths,Pct Deaths
Wallis & Futuna,Australia/Oceania,11502,3550,30.86,8,0.23
Saint Pierre & Miquelon,North America,5840,3452,59.11,2,0.06
Tuvalu,Australia/Oceania,11396,2943,25.82,1,0.03
Saint Helena,Africa,5314,2166,40.76,0,0.0
Falkland Islands,South America,3791,1930,50.91,0,0.0
Montserrat,North America,4386,1403,31.99,8,0.57
Niue,Australia/Oceania,1935,1031,53.28,0,0.0
Tokelau,Australia/Oceania,1893,80,4.23,0,0.0
Holy See,Europe,518,29,5.6,0,0.0
Western Sahara,Africa,587259,10,0.0,1,10.0
